º”‘ÿluaΩ≈±æ,0.001s
10000,0.133s
20000,0.299s
30000,0.461s
40000,0.625s
50000,0.754s
60000,0.945s
70000,1.165s
80000,1.265s
90000,1.428s
100000,1.659s
